"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
37,"Self-emp-inc",217054,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,35,"United-States",">50K"
38,"Self-emp-not-inc",257250,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,52,"United-States","<=50K"
28,"Self-emp-not-inc",125442,"HS-grad",9,"Divorced","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
38,"Self-emp-not-inc",322143,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,10,"United-States","<=50K"
34,"Self-emp-inc",175761,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",">50K"
36,"Self-emp-not-inc",136028,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,30,"United-States","<=50K"
26,"Self-emp-not-inc",163189,"HS-grad",9,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","<=50K"
20,"Self-emp-not-inc",211466,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,80,"United-States","<=50K"
40,"Self-emp-not-inc",34037,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,70,"United-States","<=50K"
38,"Self-emp-inc",112847,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",">50K"
22,"Self-emp-not-inc",202920,"HS-grad",9,"Never-married","Prof-specialty","Unmarried","White","Female",99999,0,40,"Dominican-Republic",">50K"
32,"Self-emp-inc",244665,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,45,"United-States",">50K"
29,"Self-emp-not-inc",229842,"HS-grad",9,"Never-married","Transport-moving","Unmarried","Black","Male",0,0,45,"United-States","<=50K"
32,"Self-emp-not-inc",298332,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
22,"Self-emp-not-inc",143062,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Greece","<=50K"
26,"Self-emp-not-inc",219897,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
27,"Self-emp-not-inc",208406,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",">50K"
25,"Self-emp-not-inc",305449,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
25,"Self-emp-not-inc",282631,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Self-emp-inc",201763,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
32,"Self-emp-not-inc",197867,"Assoc-voc",11,"Divorced","Sales","Unmarried","White","Male",0,0,50,"United-States","<=50K"
35,"Self-emp-not-inc",207568,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,75,"United-States","<=50K"
34,"Self-emp-not-inc",306982,"Bachelors",13,"Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,0,60,"South","<=50K"
40,"Self-emp-not-inc",209040,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
22,"Self-emp-not-inc",199011,"HS-grad",9,"Never-married","Craft-repair","Other-relative","White","Male",0,0,20,"United-States","<=50K"
23,"Self-emp-not-inc",282604,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",7688,0,60,"United-States",">50K"
23,"Self-emp-not-inc",519627,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,25,"Mexico","<=50K"
36,"Self-emp-not-inc",64875,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,60,"United-States","<=50K"
34,"Self-emp-inc",215382,"Masters",14,"Separated","Prof-specialty","Not-in-family","White","Female",4787,0,40,"United-States",">50K"
33,"Self-emp-not-inc",312055,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",">50K"
30,"Self-emp-inc",78530,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,65,"Canada",">50K"
32,"Self-emp-not-inc",350624,"12th",8,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Self-emp-not-inc",267396,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
36,"Self-emp-not-inc",295127,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,84,"United-States","<=50K"
32,"Self-emp-inc",111746,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
32,"Self-emp-not-inc",171091,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Self-emp-not-inc",174391,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
31,"Self-emp-not-inc",122749,"Assoc-voc",11,"Divorced","Craft-repair","Own-child","White","Male",0,0,20,"United-States","<=50K"
26,"Self-emp-not-inc",284343,"Assoc-acdm",12,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
39,"Self-emp-not-inc",237532,"HS-grad",9,"Married-civ-spouse","Sales","Wife","Black","Female",0,0,54,"Dominican-Republic",">50K"
39,"Self-emp-inc",329980,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,60,"United-States",">50K"
29,"Self-emp-not-inc",125190,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
31,"Self-emp-not-inc",161745,"Bachelors",13,"Married-spouse-absent","Exec-managerial","Not-in-family","White","Male",0,1980,60,"United-States","<=50K"
34,"Self-emp-not-inc",345705,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States",">50K"
36,"Self-emp-not-inc",233533,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",">50K"
34,"Self-emp-not-inc",111985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
29,"Self-emp-not-inc",29616,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,65,"United-States","<=50K"
32,"Self-emp-inc",110331,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,65,"United-States",">50K"
40,"Self-emp-inc",76625,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
27,"Self-emp-not-inc",229125,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
27,"Self-emp-inc",243871,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,45,"United-States","<=50K"
37,"Self-emp-not-inc",243587,"Some-college",10,"Separated","Other-service","Own-child","White","Female",0,0,40,"Cuba","<=50K"
27,"Self-emp-not-inc",300777,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,70,"United-States","<=50K"
37,"Self-emp-inc",186359,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",7688,0,60,"United-States",">50K"
40,"Self-emp-not-inc",335549,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2444,45,"United-States",">50K"
25,"Self-emp-not-inc",210278,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Male",0,0,30,"United-States","<=50K"
29,"Self-emp-not-inc",132686,"Prof-school",15,"Never-married","Prof-specialty","Own-child","White","Male",0,0,50,"Italy",">50K"
37,"Self-emp-not-inc",36989,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K"
37,"Self-emp-not-inc",29814,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,85,"United-States","<=50K"
36,"Self-emp-not-inc",245090,"Bachelors",13,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,50,"Mexico","<=50K"
35,"Self-emp-not-inc",361888,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"Japan","<=50K"
35,"Self-emp-not-inc",185848,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","White","Male",4650,0,50,"United-States","<=50K"
39,"Self-emp-inc",122742,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,55,"United-States",">50K"
34,"Self-emp-not-inc",96245,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
20,"Self-emp-not-inc",157145,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,2258,10,"United-States","<=50K"
35,"Self-emp-not-inc",216129,"12th",8,"Never-married","Other-service","Not-in-family","Black","Female",0,0,40,"Trinadad&Tobago","<=50K"
25,"Self-emp-not-inc",113436,"Some-college",10,"Never-married","Craft-repair","Unmarried","White","Male",0,0,35,"United-States","<=50K"
36,"Self-emp-not-inc",367020,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"United-States","<=50K"
38,"Self-emp-not-inc",190023,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K"
36,"Self-emp-inc",164866,"Assoc-acdm",12,"Separated","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
34,"Self-emp-inc",80249,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,72,"United-States","<=50K"
39,"Self-emp-not-inc",68781,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
40,"Self-emp-not-inc",223881,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,70,"United-States",">50K"
35,"Self-emp-not-inc",462890,"10th",6,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,50,"United-States","<=50K"
38,"Self-emp-not-inc",200153,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
39,"Self-emp-not-inc",174330,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
23,"Self-emp-inc",214542,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
35,"Self-emp-not-inc",168475,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",">50K"
32,"Self-emp-not-inc",65278,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
23,"Self-emp-not-inc",208503,"Some-college",10,"Divorced","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
36,"Self-emp-inc",213008,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
39,"Self-emp-not-inc",188571,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States","<=50K"
38,"Self-emp-not-inc",182416,"HS-grad",9,"Never-married","Sales","Unmarried","Black","Female",0,0,42,"United-States","<=50K"
30,"Self-emp-inc",117570,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
37,"Self-emp-inc",382802,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,0,99,"United-States",">50K"
25,"Self-emp-not-inc",209384,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Male",0,0,32,"United-States","<=50K"
27,"Self-emp-inc",153546,"Assoc-voc",11,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,36,"United-States",">50K"
37,"Self-emp-not-inc",58343,"HS-grad",9,"Divorced","Farming-fishing","Unmarried","White","Male",0,0,56,"United-States","<=50K"
31,"Self-emp-not-inc",181485,"Bachelors",13,"Never-married","Sales","Not-in-family","Black","Male",0,0,40,"United-States",">50K"
35,"Self-emp-not-inc",267776,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Female",0,0,30,"United-States","<=50K"
36,"Self-emp-not-inc",36425,"Some-college",10,"Divorced","Sales","Unmarried","White","Female",0,0,35,"United-States","<=50K"
25,"Self-emp-not-inc",189027,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States","<=50K"
37,"Self-emp-inc",291518,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",15024,0,55,"United-States",">50K"
33,"Self-emp-not-inc",131568,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,66,"United-States","<=50K"
33,"Self-emp-inc",117963,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,60,"United-States",">50K"
24,"Self-emp-not-inc",37440,"Bachelors",13,"Never-married","Farming-fishing","Unmarried","White","Male",0,0,50,"United-States","<=50K"
37,"Self-emp-inc",126675,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Male",0,0,40,"United-States","<=50K"
23,"Self-emp-not-inc",216129,"Assoc-acdm",12,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
33,"Self-emp-inc",139057,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,84,"Taiwan",">50K"
25,"Self-emp-inc",163039,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
34,"Self-emp-not-inc",320194,"Prof-school",15,"Separated","Prof-specialty","Unmarried","White","Male",0,0,48,"United-States",">50K"
29,"Self-emp-not-inc",227890,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
36,"Self-emp-not-inc",288585,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","Asian-Pac-Islander","Female",0,0,20,"South","<=50K"
39,"Self-emp-not-inc",211785,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Female",0,0,20,"United-States","<=50K"
30,"Self-emp-inc",68330,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
39,"Self-emp-not-inc",126569,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,60,"United-States",">50K"
40,"Self-emp-inc",37997,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,"United-States","<=50K"
20,"Self-emp-not-inc",186014,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,12,"Germany","<=50K"
31,"Self-emp-not-inc",226624,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
33,"Self-emp-not-inc",155343,"Some-college",10,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,72,"United-States","<=50K"
27,"Self-emp-inc",233724,"HS-grad",9,"Separated","Adm-clerical","Not-in-family","White","Male",0,0,38,"United-States","<=50K"
38,"Self-emp-not-inc",53628,"Assoc-voc",11,"Divorced","Exec-managerial","Unmarried","White","Male",0,0,35,"United-States","<=50K"
27,"Self-emp-not-inc",37302,"Assoc-acdm",12,"Married-civ-spouse","Transport-moving","Husband","White","Male",7688,0,70,"United-States",">50K"
35,"Self-emp-not-inc",166416,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,99,"United-States","<=50K"
35,"Self-emp-not-inc",189878,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
22,"Self-emp-not-inc",123440,"Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,48,"United-States","<=50K"
28,"Self-emp-inc",115705,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
34,"Self-emp-inc",186824,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,40,"United-States",">50K"
31,"Self-emp-not-inc",348038,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,50,"Puerto-Rico",">50K"
32,"Self-emp-inc",46807,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",99999,0,40,"United-States",">50K"
38,"Self-emp-not-inc",357962,"9th",5,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
40,"Self-emp-inc",207578,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,50,"United-States",">50K"
40,"Self-emp-not-inc",230478,"Assoc-acdm",12,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
40,"Self-emp-inc",344060,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
26,"Self-emp-inc",242651,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,48,"United-States","<=50K"
25,"Self-emp-inc",86745,"Bachelors",13,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
26,"Self-emp-not-inc",213258,"HS-grad",9,"Divorced","Farming-fishing","Unmarried","White","Male",0,0,65,"United-States","<=50K"
20,"Self-emp-inc",182200,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,30,"United-States","<=50K"
28,"Self-emp-not-inc",33035,"12th",8,"Divorced","Other-service","Unmarried","White","Female",0,0,30,"United-States","<=50K"
35,"Self-emp-not-inc",225399,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",8614,0,40,"United-States",">50K"
40,"Self-emp-not-inc",242082,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
38,"Self-emp-not-inc",108947,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",7688,0,40,"United-States",">50K"
36,"Self-emp-inc",37019,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
39,"Self-emp-not-inc",247975,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Asian-Pac-Islander","Male",0,0,30,"United-States","<=50K"
24,"Self-emp-not-inc",277700,"Some-college",10,"Separated","Handlers-cleaners","Own-child","White","Male",0,0,45,"United-States","<=50K"
40,"Self-emp-not-inc",209833,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
35,"Self-emp-not-inc",120301,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States","<=50K"
27,"Self-emp-not-inc",131298,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,48,"United-States","<=50K"
37,"Self-emp-not-inc",73199,"Bachelors",13,"Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",3137,0,77,"Vietnam","<=50K"
32,"Self-emp-not-inc",39369,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
36,"Self-emp-not-inc",206520,"Bachelors",13,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
39,"Self-emp-not-inc",363418,"Bachelors",13,"Separated","Craft-repair","Own-child","White","Male",0,0,35,"United-States","<=50K"
40,"Self-emp-not-inc",49156,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,20,"United-States","<=50K"
34,"Self-emp-inc",207668,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,54,,">50K"
38,"Self-emp-inc",257250,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
37,"Self-emp-not-inc",362062,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,50,"United-States",">50K"
33,"Self-emp-inc",132601,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
33,"Self-emp-not-inc",118267,"Assoc-acdm",12,"Divorced","Sales","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
38,"Self-emp-not-inc",203836,"5th-6th",3,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
